dataset,a,b,vocab_size,delta,abs_delta,arr_dist,gc_dist,kmer_dist
jores,jores_18960,jores_8454,2,0.3498024022646302,0.3498024022646302,0.23,0.0,1.2335329341317367
jores,jores_22498,jores_44101,2,1.0991940158934599,1.0991940158934599,0.8333333333333334,0.05882352941176472,1.0658682634730539
jores,jores_22498,jores_8454,2,0.19301095262679024,0.19301095262679024,0.7133333333333334,0.05294117647058827,1.1976047904191618
jores,jores_44101,jores_8454,2,-0.9061830632666696,0.9061830632666696,0.5866666666666667,0.00588235294117645,1.1736526946107784
jores,jores_14784,jores_2742,2,-1.767389837473019,1.767389837473019,0.11333333333333333,0.12941176470588234,1.3293413173652695
jores,jores_14784,jores_44731,2,2.1714289068557004,2.1714289068557004,0.58,0.05882352941176472,1.1736526946107786
jores,jores_14784,jores_52131,2,-1.22214802480588,1.22214802480588,0.54,0.047058823529411764,1.4251497005988025
jores,jores_14784,jores_55149,2,-4.1131280918729605,4.1131280918729605,0.6666666666666666,0.07647058823529412,1.281437125748503
jores,jores_2742,jores_44731,2,3.9388187443287195,3.9388187443287195,0.4666666666666666,0.07058823529411762,1.2095808383233533
jores,jores_2742,jores_52131,2,0.5452418126671389,0.5452418126671389,0.4266666666666667,0.1764705882352941,1.281437125748503
jores,jores_2742,jores_55149,2,-2.345738254399941,2.345738254399941,0.6666666666666666,0.20588235294117646,1.2694610778443116
jores,jores_44731,jores_52131,2,-3.3935769316615803,3.3935769316615803,0.04,0.10588235294117648,1.377245508982036
jores,jores_44731,jores_55149,2,-6.284556998728661,6.284556998728661,0.25333333333333335,0.13529411764705884,1.2455089820359282
jores,jores_52131,jores_55149,2,-2.8909800670670798,2.8909800670670798,0.29333333333333333,0.02941176470588236,1.221556886227545
jores,jores_14883,jores_29494,2,1.9909886015496,1.9909886015496,0.7133333333333334,0.05882352941176472,1.4011976047904193
jores,jores_14883,jores_51624,2,1.8416554067551798,1.8416554067551798,0.12,0.035294117647058865,1.1616766467065869
jores,jores_14883,jores_7554,2,-1.646422136752249,1.646422136752249,0.2466666666666667,0.08235294117647057,1.029940119760479
jores,jores_29494,jores_51624,2,-0.1493331947944201,0.1493331947944201,0.7399999999999999,0.023529411764705854,1.2934131736526946
jores,jores_29494,jores_7554,2,-3.637410738301849,3.637410738301849,0.96,0.1411764705882353,1.568862275449102
jores,jores_51624,jores_7554,2,-3.488077543507429,3.488077543507429,0.3333333333333333,0.11764705882352944,1.1616766467065869
jores,jores_15247,jores_21082,2,-1.24316041891627,1.24316041891627,0.5533333333333333,0.047058823529411764,1.18562874251497
jores,jores_15247,jores_22311,2,0.8011970200047802,0.8011970200047802,0.6666666666666666,0.02941176470588236,1.2335329341317367
jores,jores_15247,jores_27923,2,-0.03439206996507993,0.03439206996507993,0.013333333333333345,0.03529411764705881,1.2215568862275452
jores,jores_15247,jores_28112,2,-2.5482918514579507,2.5482918514579507,0.58,0.03529411764705881,1.3652694610778444
jores,jores_15247,jores_33088,2,0.8778261630041801,0.8778261630041801,0.5733333333333334,0.09411764705882347,1.2574850299401197
jores,jores_15247,jores_60235,2,-0.32264081904983,0.32264081904983,0.6666666666666666,0.11176470588235293,1.1976047904191618
jores,jores_15247,jores_66288,2,1.6352202283159296,1.6352202283159296,0.6666666666666666,0.1647058823529412,1.2455089820359282
jores,jores_15247,jores_6685,2,-1.0158591418124099,1.0158591418124099,0.10000000000000002,0.10000000000000003,1.2335329341317367
jores,jores_21082,jores_22311,2,2.0443574389210504,2.0443574389210504,0.1666666666666667,0.017647058823529405,1.3892215568862276
jores,jores_21082,jores_27923,2,1.20876834895119,1.20876834895119,0.5666666666666667,0.08235294117647057,1.377245508982036
jores,jores_21082,jores_28112,2,-1.3051314325416807,1.3051314325416807,0.02666666666666669,0.08235294117647057,1.4251497005988023
jores,jores_21082,jores_33088,2,2.12098658192045,2.12098658192045,0.020000000000000018,0.14117647058823524,1.4131736526946108
jores,jores_21082,jores_60235,2,0.9205195998664399,0.9205195998664399,0.18000000000000002,0.1588235294117647,1.3652694610778444
jores,jores_21082,jores_66288,2,2.8783806472321993,2.8783806472321993,0.2733333333333334,0.21176470588235297,1.3413173652694612
jores,jores_21082,jores_6685,2,0.22730127710386006,0.22730127710386006,0.4533333333333333,0.05294117647058827,1.1736526946107784
jores,jores_22311,jores_27923,2,-0.8355890899698601,0.8355890899698601,0.6666666666666666,0.06470588235294117,1.1377245508982035
jores,jores_22311,jores_28112,2,-3.349488871462731,3.349488871462731,0.14,0.06470588235294117,1.3892215568862276
jores,jores_22311,jores_33088,2,0.07662914299939994,0.07662914299939994,0.1466666666666667,0.12352941176470583,1.317365269461078
jores,jores_22311,jores_60235,2,-1.1238378390546102,1.1238378390546102,0.013333333333333308,0.1411764705882353,1.281437125748503
jores,jores_22311,jores_66288,2,0.8340232083111494,0.8340232083111494,0.10666666666666665,0.19411764705882356,1.401197604790419
jores,jores_22311,jores_6685,2,-1.81705616181719,1.81705616181719,0.62,0.07058823529411767,1.2694610778443114
jores,jores_27923,jores_28112,2,-2.5138997814928707,2.5138997814928707,0.5933333333333334,0.0,1.5209580838323356
jores,jores_27923,jores_33088,2,0.9122182329692601,0.9122182329692601,0.5866666666666667,0.05882352941176466,1.317365269461078
jores,jores_27923,jores_60235,2,-0.28824874908475007,0.28824874908475007,0.6666666666666666,0.07647058823529412,1.4131736526946108
jores,jores_27923,jores_66288,2,1.6696122982810095,1.6696122982810095,0.6666666666666666,0.1294117647058824,1.3293413173652695
jores,jores_27923,jores_6685,2,-0.98146707184733,0.98146707184733,0.11333333333333336,0.13529411764705884,0.9940119760479043
jores,jores_28112,jores_33088,2,3.426118014462131,3.426118014462131,0.006666666666666672,0.05882352941176466,1.4850299401197606
jores,jores_28112,jores_60235,2,2.2256510324081207,2.2256510324081207,0.15333333333333332,0.07647058823529412,1.3652694610778444
jores,jores_28112,jores_66288,2,4.18351207977388,4.18351207977388,0.24666666666666667,0.1294117647058824,1.473053892215569
jores,jores_28112,jores_6685,2,1.5324327096455408,1.5324327096455408,0.48,0.13529411764705884,1.3652694610778444
jores,jores_33088,jores_60235,2,-1.2004669820540101,1.2004669820540101,0.16,0.01764705882352946,1.1616766467065869
jores,jores_33088,jores_66288,2,0.7573940653117495,0.7573940653117495,0.25333333333333335,0.07058823529411773,1.3652694610778444
jores,jores_33088,jores_6685,2,-1.89368530481659,1.89368530481659,0.47333333333333333,0.1941176470588235,1.4491017964071857
jores,jores_60235,jores_66288,2,1.9578610473657596,1.9578610473657596,0.09333333333333334,0.05294117647058827,1.221556886227545
jores,jores_60235,jores_6685,2,-0.6932183227625799,0.6932183227625799,0.6333333333333333,0.21176470588235297,1.473053892215569
jores,jores_66288,jores_6685,2,-2.6510793701283397,2.6510793701283397,0.6666666666666666,0.26470588235294124,1.4850299401197606
jores,jores_15618,jores_33261,2,-0.7655713164773001,0.7655713164773001,0.25,0.08823529411764713,1.3053892215568865
jores,jores_15818,jores_57548,3,0.3756482668641099,0.3756482668641099,0.6022222222222222,0.07058823529411762,1.1976047904191618
jores,jores_16030,jores_51157,2,-0.27270511594117997,0.27270511594117997,0.42,0.0,1.4610778443113772
jores,jores_16144,jores_38517,3,1.4354003289187198,1.4354003289187198,0.68,0.1529411764705882,1.473053892215569
jores,jores_17541,jores_19242,2,1.65983910813599,1.65983910813599,0.08666666666666671,0.05294117647058827,1.065868263473054
jores,jores_17541,jores_46699,2,-0.11029168871938988,0.11029168871938988,0.16,0.09411764705882353,1.1616766467065869
jores,jores_19242,jores_46699,2,-1.7701307968553799,1.7701307968553799,0.19333333333333336,0.04117647058823526,1.221556886227545
jores,jores_17890,jores_21807,3,-0.4284911008775001,0.4284911008775001,0.6466666666666666,0.07647058823529407,1.2215568862275448
jores,jores_18151,jores_6682,6,0.24888801927355797,0.24888801927355797,0.3566666666666667,0.00588235294117645,1.1137724550898205
jores,jores_18425,jores_18434,5,-0.3144581858601101,0.3144581858601101,0.8053333333333335,0.0,1.2934131736526946
jores,jores_18572,jores_19791,3,2.0736670561805477,2.0736670561805477,0.3333333333333333,0.02941176470588236,1.1377245508982037
jores,jores_19258,jores_26494,2,-0.750097600507733,0.750097600507733,0.6933333333333334,0.09411764705882353,1.0419161676646707
jores,jores_19258,jores_48441,2,2.076154820791889,2.076154820791889,0.35333333333333333,0.06470588235294117,1.089820359281437
jores,jores_26494,jores_48441,2,2.8262524212996216,2.8262524212996216,0.7933333333333333,0.02941176470588236,1.0059880239520957
jores,jores_19711,jores_34424,2,-1.259800682259343,1.259800682259343,0.3233333333333333,0.18823529411764706,1.532934131736527
jores,jores_19711,jores_45116,2,-0.3871653382689699,0.3871653382689699,0.3066666666666667,0.005882352941176505,1.2335329341317367
jores,jores_34424,jores_45116,2,0.872635343990373,0.872635343990373,0.03,0.18235294117647055,1.377245508982036
jores,jores_19809,jores_20549,3,0.1382483328201798,0.1382483328201798,0.52,0.0117647058823529,1.1976047904191618
jores,jores_20393,jores_32424,2,0.48112419107137017,0.48112419107137017,0.21333333333333335,0.14705882352941174,1.18562874251497
