model,reference,sd_arrange,sd_null,sd_full,var_arrange,var_null,var_full,sf_gsi,gsi_naive,arrangement_share,spacer_share,p_perm,p_gpd,z_submitted
billboard,0.9540963768959045,0.012037033482801291,0.29103838052229014,0.24216282707375686,0.00014489017506607937,0.08470333893703735,0.058642834816354274,0.012616160981517464,0.2697633876165072,0.002470722561755703,1.444393662112244,1.0,,0.23294383337506475
billboard,-0.8420554995536804,0.10343421643305149,0.18468793396605088,0.2602350983652814,0.010698637129119339,0.03410963295264837,0.0677223064211877,0.12283539088323196,0.4884787905202742,0.1579780384705289,0.5036690974537863,0.9996000799840032,,1.1885773646118591
billboard,-0.4298417568206787,0.05267485796708677,0.17527532323790854,0.3552122781054165,0.002774640661852765,0.03072143893615332,0.12617576251683976,0.12254476707124956,0.6892508472349239,0.021990282495677044,0.2434813019818537,1.0,,0.2407523403768445
billboard,0.7612254023551941,0.056357048781728036,0.2970455763879715,0.2558493953015751,0.0031761169473860738,0.08823607445166222,0.06545891307618162,0.07403464020953858,0.3742002283315679,0.04852077124607435,1.3479611913044194,1.0,,0.3029210010055825
billboard,-1.9139528274536133,0.12507891282403208,0.20633187120860524,0.27951878349744147,0.015644734433241818,0.04257284107644446,0.07813075032788955,0.06535109488066183,0.15073078080593713,0.2002378623984272,0.5448922594212904,1.0,,0.21296882695772731
billboard,-0.8684951663017273,0.004163476898399552,0.17910505453681685,0.2769849015691315,1.733453988350675e-05,0.032078620560636144,0.0767206356972615,0.0047938976058193765,0.44588127851183684,0.0002259436424889464,0.4181224551790461,1.0,,0.8927830519658712
billboard,0.8451259136199951,0.001604490283906432,0.14690103285647804,0.21688403784831564,2.574389071150143e-06,0.021579913454300038,0.04703868587338961,0.0018985221705411814,0.25415573713683726,5.472918776003707e-05,0.4587694799209532,1.0,,0.03792362519388974
billboard,0.42850562930107117,0.117471702776806,0.30966274702500524,0.2782301745129834,0.01379960095328225,0.09589101689507237,0.07741203000952519,0.2741427293928723,1.3830419153157567,0.17826171141080105,1.2387094988114047,1.0,,0.8170681102721647
billboard,-1.0362329483032227,0.04164254107998559,0.14460865982880639,0.31736550698389576,0.0017341012275982877,0.02091166449748344,0.10072086502314519,0.040186466902228,0.33293835074258776,0.017216901653890674,0.2076199851210376,1.0,,0.2615498611146713
billboard,-0.9764321446418762,0.10525798377093225,0.22410311798943577,0.1971173389065164,0.011079243147521838,0.05022220749258697,0.038855245297586445,0.10779856475284054,0.158561374499025,0.28514150567491187,1.2925464015975883,1.0,,1.3531483112035856
billboard,-0.5841622948646545,0.020624301224259966,0.23648751164707488,0.25869781703547756,0.0004253618009890112,0.05592634316502538,0.06692456053892142,0.03530577273741785,0.4870275071441633,0.006355840031876382,0.8356624640441264,1.0,,0.2048153376760642
