seq_id,z_census,z_at_100_mean,z_at_100_sd,z_at_100_max,z_at_100_min,z_big,p_parametric,p_empirical,p_gpd,n_exceed,shuffle_skew,shuffle_kurtosis,shapiro_W,shapiro_p
peak85493,0.8132186969245813,0.3357995732524113,0.10313809152890403,0.4795532086318755,0.19182189738580807,0.33496532964174913,0.7376512398227728,0.7362637362637363,0.736,736,0.021467164744344992,0.1744458137479037,0.9987112462184385,0.6961211990488148
peak32458,0.8125934209242562,1.14959292966463,0.06253656547669585,1.2790816868536727,1.0911890597203684,1.151243879385979,0.24963191789943506,0.34665334665334663,0.346,346,-0.005643379995503278,-1.5083709194206287,0.9039679644557548,1.456363850707444e-24
peak76295,0.8097062239310301,1.1100647192750857,0.12189011171349437,1.298188196701593,0.9283936003899386,1.1026188612721959,0.2701927158955364,0.27672327672327673,0.276,276,0.008335673762543763,-0.06101961487483365,0.9987138855462775,0.6978942728457034
peak51034,0.05822799637986189,0.4872654151579254,0.11184957150671769,0.6726186758770065,0.36318711587700164,0.4813418562268467,0.6302735534570034,0.6263736263736264,0.626,626,0.02414177750701298,0.0812169787277166,0.9993535135482077,0.9868483839351411
peak17875,0.05741271158470202,0.32674234336095564,0.09283923164585005,0.47197944514482626,0.1531948570531802,0.32238163116156565,0.7471635982356988,0.7342657342657343,0.734,734,0.007676818473610652,0.16481252168592997,0.9989050272852618,0.820376277581794
peak62105,0.057088030050908886,1.1241557202244694,0.08446963028005398,1.2213193402798965,0.9543947619610001,1.1183079060160888,0.26343551147799316,0.25874125874125875,0.258,258,-0.0472054939970507,0.22731901921988085,0.997975446255285,0.27250451185726016
peak30148,0.05443652971976123,1.0515291287457926,0.10666944869365198,1.2279067702441107,0.9033361783612346,1.0433930113470178,0.2967663089624091,0.3006993006993007,0.3,300,0.061339327986117194,-0.19865226332642605,0.9983429263345674,0.4565065080476314
ENSG00000090512,0.05183913039459454,1.3940479378264112,0.11411754471174784,1.5905490720548299,1.2112738565204748,1.3908064710680443,0.1642841202976273,0.15684315684315683,0.156,156,0.025572019453059834,-0.12826172036291794,0.9987892792769598,0.747918431597288
peak23663,0.04870827445046165,0.0656928367478111,0.061267168406164696,0.1673271124894943,0.001817383361189125,0.03851825686524954,0.9692744754113694,0.9660339660339661,0.966,966,-0.0008387392817641787,-0.10882039542069988,0.9989506252908062,0.8466413530461122
peak7405,0.04125644285750038,1.138434382982084,0.1435662860628864,1.4416215331823115,0.9471025962624249,1.1275803537075841,0.2594971876355685,0.2627372627372627,0.262,262,-0.003393682554549024,0.05159157014061844,0.9984170637271073,0.5016400132733521
ENSG00000166803,0.04088738894968733,0.8881854247956674,0.13625404349006895,1.0257655206486538,0.6376035195952657,0.8817412251283336,0.37791676202866187,0.37962037962037964,0.379,379,0.09247194464780327,0.0015952891866617414,0.998203492289516,0.37854200686945744
peak59431,0.029893150116810027,0.5975652111756564,0.09580497810980912,0.7021502125088195,0.4099751843625986,0.5947004386088669,0.5520437286028166,0.5504495504495505,0.55,550,0.05069026721658104,-0.05191889592416654,0.9988404605807703,0.7808058007738907
BCL11A_580,0.028165900722676013,0.40622384277189694,0.15087542085141364,0.6671623275118092,0.19477339292382395,0.3983224224723563,0.6903925342793085,0.7002997002997003,0.7,700,-0.040582285110627475,-0.1419985650521105,0.9984413874679763,0.516933797644093
peak34010,0.02763440782377681,0.647329105519053,0.11390299558694315,0.8009159252377926,0.4758334214547319,0.643709931484022,0.5197635485636989,0.5324675324675324,0.532,532,-0.06877858772858708,0.05333192242555329,0.998287322398233,0.42427353820867864
peak1565,0.02505747999953034,0.5114936095168889,0.07764419467328859,0.6565022897870031,0.38751482562689954,0.508012114735243,0.6114448472078793,0.6263736263736264,0.626,626,0.0642219199271187,-0.13299714026071108,0.9983656111645693,0.47006626396957674
peak86119,0.024146964755018468,0.1473154248239859,0.09032258358263544,0.28408205829957844,0.01600761576278449,0.1379533285779164,0.8902773031720563,0.8981018981018981,0.898,898,0.09560138600973077,0.01457751059145318,0.9978797512831173,0.23587734924998466
peak42124,0.01667754909141816,0.10474793231911168,0.06979400548812566,0.20861435454702118,0.0005516939766828611,0.050234385780812484,0.9599356102435903,0.9590409590409591,0.959,959,0.0071188986405277405,0.060028453589720865,0.9978774262566743,0.23504240007543414
peak49377,0.01527872205849737,0.5469966494976466,0.07054309467696622,0.6739157875873645,0.4311673902197308,0.5471098242483959,0.584303283234034,0.5764235764235764,0.576,576,0.062123738429192374,-0.14685381013030208,0.9987955253913016,0.7519891534455465
peak77222,0.014077635420240844,0.7793978225935213,0.13823416573874595,1.087835896054756,0.6263805442122756,0.771833489545597,0.44021305390225285,0.43956043956043955,0.439,439,0.046270207823596365,-0.05010957227143953,0.9985596644183977,0.5940199575181884
peak32142,0.012962280105663389,0.15460297649257054,0.10194113936680951,0.3186634706740212,0.0020069168600453033,0.14173764739562564,0.88728723680394,0.8971028971028971,0.897,897,0.14871528942274326,-0.02891029863274852,0.9967656929664636,0.038750625503480796
peak18707,0.012212384670727239,0.9792930038221096,0.12877862050651148,1.171990168583091,0.8361479136413129,0.9732799394227677,0.33041418984624515,0.3386613386613387,0.338,338,0.05079314211116887,-0.2526624786776792,0.9980850503025153,0.3200984666802862
peak31979,0.009680299990068404,0.43573887351585083,0.1087160353067452,0.6369341581159039,0.19997178737696428,0.4321450287338369,0.6656360095231706,0.6683316683316683,0.668,668,-0.07810877559272474,0.5145767221518271,0.9966746075551277,0.03331589126496822
peak15627,0.0017367659449837914,1.4179660641098337,0.10127041876591894,1.5774578903110126,1.2387799972547187,1.4138885275058704,0.15739463494501038,0.16783216783216784,0.167,167,0.09508249969596574,-0.12323059273418524,0.998293011962433,0.4275040936363413
