head,val_r,test_r,test_rho,test_r2,n_params,perm_invariant,model,dataset
attn_pos,0.3927558660507202,0.34391868114471436,0.31564808934539695,0.08140957355499268,330754,False,nt,agarwal
cnn1d,0.4084208309650421,0.32317212224006653,0.30092138339239116,0.09386336803436279,827649,False,nt,agarwal
transformer,0.40307143330574036,0.33354541659355164,0.297613852173241,0.03942513465881348,793281,False,nt,agarwal
mean_linear,0.16819417476654053,0.22509485483169556,0.18432594842987207,0.02837204933166504,3073,True,nt,inoue
mean_mlp,0.21735838055610657,0.27940261363983154,0.24897824653922215,-0.0032979249954223633,297473,True,nt,inoue
attn_pos,0.15579187870025635,0.19087153673171997,0.18723476923370877,0.028095781803131104,330754,False,nt,inoue
cnn1d,0.20080804824829102,0.21980775892734528,0.23629899783134142,0.030024349689483643,827649,False,nt,inoue
transformer,0.15839387476444244,0.22122272849082947,0.15955977186093834,-0.19600427150726318,793281,False,nt,inoue
mean_linear,0.5599081516265869,0.5590784549713135,0.5846915734162466,0.3103070855140686,3073,True,nt,jores
mean_mlp,0.5757204294204712,0.5704326629638672,0.5875781492967107,0.3166261911392212,297473,True,nt,jores
attn_pos,0.5849865078926086,0.5974105596542358,0.6062377101111351,0.3486114740371704,330754,False,nt,jores
cnn1d,0.6272194385528564,0.603161096572876,0.6147654979586596,0.3578410744667053,827649,False,nt,jores
transformer,0.6101248264312744,0.5999733209609985,0.6099220118769142,0.25159382820129395,793281,False,nt,jores
mean_linear,0.3865808844566345,0.19662420451641083,0.16534792047683797,-0.027686476707458496,3073,True,nt,klein
mean_mlp,0.38582438230514526,0.25399619340896606,0.20901995245055444,0.018815577030181885,297473,True,nt,klein
attn_pos,0.36019667983055115,0.2507931888103485,0.2617029521557311,-0.1842355728149414,330754,False,nt,klein
cnn1d,0.43397119641304016,0.2545504570007324,0.21687685633306153,0.04012715816497803,827649,False,nt,klein
transformer,0.4377490282058716,0.18108269572257996,0.20487993213667954,-0.2817193269729614,793281,False,nt,klein
mean_linear,0.5035724639892578,0.5242694616317749,0.5649718013579348,0.27412575483322144,3073,True,nt,vaishnav
mean_mlp,0.5358102321624756,0.5556237697601318,0.5720680925013922,0.3070392608642578,297473,True,nt,vaishnav
attn_pos,0.5248826742172241,0.536096453666687,0.5643039305562393,0.2799863815307617,330754,False,nt,vaishnav
cnn1d,0.5507876873016357,0.5331039428710938,0.5621972333730637,-0.27313387393951416,827649,False,nt,vaishnav
transformer,0.5446740388870239,0.5274393558502197,0.552735763599133,0.26347124576568604,793281,False,nt,vaishnav
